"filename", "language", "PHP", "XML", "comment", "blank", "total"
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\DetractionInput.php", "PHP", 24, 0, 0, 4, 28
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\DiscountInput.php", "PHP", 26, 0, 0, 4, 30
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\EstablishmentInput.php", "PHP", 53, 0, 0, 7, 60
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\GuideInput.php", "PHP", 21, 0, 0, 4, 25
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\ItemAttributeInput.php", "PHP", 29, 0, 0, 4, 33
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\ItemInput.php", "PHP", 66, 0, 0, 11, 77
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\LegendInput.php", "PHP", 26, 0, 0, 5, 31
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\OptionalInput.php", "PHP", 24, 0, 0, 4, 28
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\PerceptionInput.php", "PHP", 22, 0, 0, 4, 26
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\PrepaymentInput.php", "PHP", 23, 0, 0, 4, 27
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\Partials\RelatedInput.php", "PHP", 23, 0, 0, 4, 27
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\SummaryInput.php", "PHP", 100, 0, 0, 15, 115
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\Inputs\VoidedInput.php", "PHP", 73, 0, 0, 12, 85
"c:\laragon\www\facturafacil\app\CoreFacturalo\Transforms\TransformInput.php", "PHP", 62, 0, 7, 10, 79
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\Resources\wsdl\billConsultService.ns1.wsdl", "XML", 0, 30, 0, 0, 30
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\Resources\wsdl\billConsultService.wsdl", "XML", 0, 30, 0, 0, 30
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\Resources\wsdl\billConsultService.xsd", "XML", 0, 41, 0, 0, 41
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\Resources\wsdl\billService.ns1.wsdl", "XML", 0, 34, 0, 1, 35
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\Resources\wsdl\billService.wsdl", "XML", 0, 34, 0, 1, 35
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\Resources\wsdl\billService.xsd2.xsd", "XML", 0, 63, 0, 60, 123
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\WsClient.php", "PHP", 29, 0, 21, 8, 58
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Client\WsSecurityHeader.php", "PHP", 30, 0, 3, 8, 41
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Reader\DomCdrReader.php", "PHP", 57, 0, 36, 17, 110
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\BaseResult.php", "PHP", 29, 0, 28, 11, 68
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\BillResult.php", "PHP", 25, 0, 25, 10, 60
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\CdrResponse.php", "PHP", 50, 0, 50, 20, 120
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\Error.php", "PHP", 30, 0, 30, 11, 71
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\StatusCdrResult.php", "PHP", 25, 0, 25, 9, 59
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\StatusResult.php", "PHP", 15, 0, 20, 6, 41
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Response\SummaryResult.php", "PHP", 15, 0, 14, 6, 35
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Services\BaseSunat.php", "PHP", 108, 0, 61, 35, 204
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Services\BillSender.php", "PHP", 27, 0, 9, 6, 42
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Services\ConsultCdrService.php", "PHP", 44, 0, 23, 11, 78
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Services\ExtService.php", "PHP", 54, 0, 12, 16, 82
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Services\SummarySender.php", "PHP", 26, 0, 9, 6, 41
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Services\SunatEndpoints.php", "PHP", 14, 0, 15, 6, 35
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Signed\Certificate\X509Certificate.php", "PHP", 104, 0, 74, 27, 205
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Signed\Certificate\X509ContentType.php", "PHP", 7, 0, 0, 2, 9
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Signed\XmlSigned.php", "PHP", 161, 0, 94, 42, 297
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Validator\XmlErrorCodeProvider.php", "PHP", 37, 0, 19, 12, 68
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Validator\data\CodeErrors.xml", "XML", 0, 1474, 0, 0, 1474
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Zip\ZipFileDecompress.php", "PHP", 34, 0, 11, 6, 51
"c:\laragon\www\facturafacil\app\CoreFacturalo\WS\Zip\ZipFly.php", "PHP", 124, 0, 71, 23, 218
"c:\laragon\www\facturafacil\app\Events\KitchenOrderUpdated.php", "PHP", 14, 0, 0, 6, 20
"c:\laragon\www\facturafacil\app\Exceptions\Handler.php", "PHP", 19, 0, 17, 6, 42
"c:\laragon\www\facturafacil\app\Http\Controllers\Admin\PrinterController.php", "PHP", 75, 0, 0, 16, 91
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 29, 0, 9, 11, 49
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 29, 0, 6, 7, 42
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 17, 0, 3, 6, 26
